"","species","mean_wal_score"
"391","Argyrolobium_transvaalense",0.043
"392","Argyrolobium_tuberosum",0.0821501706484643
"393","Argyrolobium_uniflorum",0.0899090909090909
"394","Argyrolobium_zanonii",0.137398172658185
"395","Aspalathus_abietina",0.23
"396","Aspalathus_acuminata",0.23
"397","Aspalathus_albens",0.23
"398","Aspalathus_alopecurus",0.23
"399","Aspalathus_angustifolia",0.23
"400","Aspalathus_araneosa",0.23
"401","Aspalathus_aspalathoides",0.23
"402","Aspalathus_asparagoides",0.23
"403","Aspalathus_astroites",0.23
"404","Aspalathus_biflora",0.23
"405","Aspalathus_bodkinii",0.23
"406","Aspalathus_bracteata",0.23
"407","Aspalathus_capensis",0.23
"408","Aspalathus_carnosa",0.23
"409","Aspalathus_cephalotes",0.23
"410","Aspalathus_chenopoda",0.23
"411","Aspalathus_chortophila",0.162992125984252
"412","Aspalathus_ciliaris",0.23
"413","Aspalathus_cordata",0.23
"414","Aspalathus_crassisepala",0.23
"415","Aspalathus_crenata",0.23
"416","Aspalathus_divaricata",0.2289375
"417","Aspalathus_ericifolia",0.23
"418","Aspalathus_flexuosa",0.23
"419","Aspalathus_forbesii",0.23
"420","Aspalathus_gerrardii",0.09125
"421","Aspalathus_heterophylla",0.23
"422","Aspalathus_hirta",0.23
"423","Aspalathus_hispida",0.23
"424","Aspalathus_hystrix",0.23
"425","Aspalathus_juniperina",0.23
"426","Aspalathus_lactea",0.23
"427","Aspalathus_laricifolia",0.222291666666667
"428","Aspalathus_linearis",0.23
"429","Aspalathus_linguiloba",0.23
"430","Aspalathus_microphylla",0.23
"431","Aspalathus_muraltioides",0.23
"432","Aspalathus_nigra",0.23
"433","Aspalathus_nivea",0.23
"434","Aspalathus_opaca",0.23
"435","Aspalathus_pachyloba",0.23
"436","Aspalathus_pendula",0.23
"437","Aspalathus_quinquefolia",0.23
"438","Aspalathus_recurva",0.23
"439","Aspalathus_retroflexa",0.23
"440","Aspalathus_rubens",0.23
"441","Aspalathus_salteri",0.23
"442","Aspalathus_sericea",0.23
"443","Aspalathus_setacea",0.23
"444","Aspalathus_spicata",0.23
"445","Aspalathus_spinescens",0.23
"446","Aspalathus_spinosa",0.225173913043478
"447","Aspalathus_stenophylla",0.23
"448","Aspalathus_ternata",0.23
"449","Aspalathus_tuberculata",0.23
"450","Aspalathus_uniflora",0.23
"451","Astragalus_aboriginum",NA
"452","Astragalus_agrestis",0.0207041965199591
"453","Astragalus_allochrous",0.0332081911262799
"454","Astragalus_alopecuroides",0.150820816864295
"455","Astragalus_alpinus",0.0765551515151513
"456","Astragalus_americanus",0.0194914089347079
"457","Astragalus_amherstianus",0.43758064516129
"458","Astragalus_angustifolius",0.321058441558441
"459","Astragalus_annularis",0.0777747747747748
"460","Astragalus_arenarius",0.0775745296671491
"461","Astragalus_argophyllus",0.0283852459016393
"462","Astragalus_armatus",0.239973684210526
"463","Astragalus_asper",0.0708083333333333
"464","Astragalus_asymmetricus",0.043
"465","Astragalus_atropilosulus",0.183875
"466","Astragalus_australis",0.0987922283901665
"467","Astragalus_beckwithii",0.0259554730983302
"468","Astragalus_bisulcatus",0.025637542662116
"469","Astragalus_bodinii",0.0147702702702703
"470","Astragalus_boeticus",0.113575903614458
"471","Astragalus_bolanderi",0.043
"472","Astragalus_brachycarpus",0.190051282051282
"473","Astragalus_brazoensis",0.039
"474","Astragalus_callichrous",0.0647940074906367
