"","species","intrdcd.x","mean_wal_score"
"419","Apuleia_leiocarpa",0,0.187119828815977
"420","Arachis_batizocoi",0,0.174459016393443
"421","Arachis_burkartii",0,0.0963167701863354
"422","Arachis_cardenasii",0,0.182754716981132
"423","Arachis_diogoi",0,0.108745098039216
"424","Arachis_duranensis",0,0.118551020408163
"425","Arachis_glabrata",0,0.0926815203145479
"426","Arachis_glabrata",1,0.0314285714285714
"427","Arachis_helodes",0,0.056
"428","Arachis_hypogaea",0,0.187
"429","Arachis_hypogaea",1,0.358153400868306
"430","Arachis_monticola",0,0.076
"431","Arachis_pintoi",0,0.110068548387097
"432","Arachis_pintoi",1,0.484181818181818
"433","Arachis_prostrata",0,0.0811277533039647
"434","Arachis_pusilla",0,0.0892173913043478
"435","Arachis_stenosperma",0,0.0748170731707317
"436","Arachis_villosa",0,0.0855277777777778
"437","Archidendron_bigeminum",0,0.671884615384615
"438","Archidendron_bubalinum",0,0.3782
"439","Archidendron_clypearia",0,0.47690635451505
"440","Archidendron_ellipticum",0,0.369466165413534
"441","Archidendron_jiringa",0,0.362083333333333
"442","Archidendron_lucidum",0,0.224633064516129
"443","Archidendron_scutiferum",0,0.72
"444","Archidendron_utile",0,0.37304
"445","Archidendropsis_basaltica",0,0.043
"446","Archidendropsis_thozetiana",0,0.043
"447","Argyrolobium_amplexicaule",0,0.0954482758620689
"448","Argyrolobium_biebersteinii",0,0.220471264367816
"449","Argyrolobium_harveyanum",0,0.0932086330935251
"450","Argyrolobium_lunare",0,0.23
"451","Argyrolobium_molle",0,0.160145299145299
"452","Argyrolobium_pauciflorum",0,0.09425
"453","Argyrolobium_roseum",0,0.382493150684932
"454","Argyrolobium_rupestre",0,0.120553571428571
"455","Argyrolobium_speciosum",0,0.0729868421052632
"456","Argyrolobium_stipulaceum",0,0.0932837837837838
"457","Argyrolobium_tomentosum",0,0.117196581196581
"458","Argyrolobium_transvaalense",0,0.043
"459","Argyrolobium_tuberosum",0,0.0821501706484643
"460","Argyrolobium_uniflorum",0,0.0899090909090909
"461","Argyrolobium_zanonii",0,0.137398172658185
"462","Aspalathus_abietina",0,0.23
"463","Aspalathus_acuminata",0,0.23
"464","Aspalathus_albens",0,0.23
"465","Aspalathus_alopecurus",0,0.23
"466","Aspalathus_angustifolia",0,0.23
"467","Aspalathus_araneosa",0,0.23
"468","Aspalathus_aspalathoides",0,0.23
"469","Aspalathus_asparagoides",0,0.23
"470","Aspalathus_astroites",0,0.23
"471","Aspalathus_biflora",0,0.23
"472","Aspalathus_bodkinii",0,0.23
"473","Aspalathus_bracteata",0,0.23
"474","Aspalathus_capensis",0,0.23
"475","Aspalathus_carnosa",0,0.23
"476","Aspalathus_cephalotes",0,0.23
"477","Aspalathus_chenopoda",0,0.23
"478","Aspalathus_chortophila",0,0.162992125984252
"479","Aspalathus_ciliaris",0,0.23
"480","Aspalathus_cordata",0,0.23
"481","Aspalathus_crassisepala",0,0.23
"482","Aspalathus_crenata",0,0.23
"483","Aspalathus_divaricata",0,0.2289375
"484","Aspalathus_ericifolia",0,0.23
"485","Aspalathus_flexuosa",0,0.23
"486","Aspalathus_forbesii",0,0.23
"487","Aspalathus_gerrardii",0,0.09125
"488","Aspalathus_heterophylla",0,0.23
"489","Aspalathus_hirta",0,0.23
"490","Aspalathus_hispida",0,0.23
"491","Aspalathus_hystrix",0,0.23
"492","Aspalathus_juniperina",0,0.23
"493","Aspalathus_lactea",0,0.23
"494","Aspalathus_laricifolia",0,0.222291666666667
"495","Aspalathus_linearis",0,0.23
"496","Aspalathus_linguiloba",0,0.23
"497","Aspalathus_microphylla",0,0.23
"498","Aspalathus_muraltioides",0,0.23
"499","Aspalathus_nigra",0,0.23
"500","Aspalathus_nivea",0,0.23
"501","Aspalathus_opaca",0,0.23
"502","Aspalathus_pachyloba",0,0.23
"503","Aspalathus_pendula",0,0.23
"504","Aspalathus_quinquefolia",0,0.23
"505","Aspalathus_recurva",0,0.23
"506","Aspalathus_retroflexa",0,0.23
"507","Aspalathus_rubens",0,0.23
"508","Aspalathus_salteri",0,0.23
"509","Aspalathus_sericea",0,0.23
"510","Aspalathus_setacea",0,0.23
"511","Aspalathus_spicata",0,0.23
"512","Aspalathus_spinescens",0,0.23
"513","Aspalathus_spinosa",0,0.225173913043478
"514","Aspalathus_stenophylla",0,0.23
"515","Aspalathus_ternata",0,0.23
"516","Aspalathus_tuberculata",0,0.23
"517","Aspalathus_uniflora",0,0.23
"518","Astragalus_agrestis",0,0.0207041965199591
"519","Astragalus_allochrous",0,0.0332081911262799
"520","Astragalus_alopecuroides",0,0.150820816864295
"521","Astragalus_alpinus",0,0.0765551515151513
"522","Astragalus_americanus",0,0.0194914089347079
"523","Astragalus_amherstianus",0,0.43758064516129
"524","Astragalus_angustifolius",0,0.321058441558441
"525","Astragalus_annularis",0,0.0777747747747748
"526","Astragalus_arenarius",0,0.0768081991215227
"527","Astragalus_arenarius",1,0.143
"528","Astragalus_argophyllus",0,0.0283852459016393
"529","Astragalus_armatus",0,0.239973684210526
"530","Astragalus_asper",0,0.0708083333333333
"531","Astragalus_asymmetricus",0,0.043
