Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes,genus species,,,,,,,,,,,,,,,,
1,Apocynaceae,Ceropegia,johnsonii,As,,,,,"Schnell, Cusset and Quenam 1963",,Ceropegia johnsonii,,,,,,,,,,,,,,,,
1,Apocynaceae,Ceropegia,sankuruensis,As,,,base of leaf blade,,"Schnell, Cusset and Quenam 1963",,Ceropegia sankuruensis,,,,,,,,,,,,,,,,
1,Apocynaceae,Dregea,volubilis,As,,,"leaf, petiole",,Govindappa and Ramakrishna 1980,syn Wattakaka 1,Dregea volubilis,,,,,,,,,,,,,,,,
1,Apocynaceae,Gonolobus,barabatus,As,vine,Mexico,leaf blade,,Díaz-Castelazo et al. 2004,ants visit plants only at night-Díaz-Castelazo et al. 2004,Gonolobus barabatus,,,,,,,,,,,,,,,,
1,Apocynaceae,Gymnema,lactiferum,As,,,base of leaf blade,,Zimmermann 1932,,Gymnema lactiferum,,,,,,,,,,,,,,,,
1,Apocynaceae,Gymnema,pachyglossum,As,,,,,Zimmermann 1932,,Gymnema pachyglossum,,,,,,,,,,,,,,,,
1,Apocynaceae,Hoya,carnosa,As,,,,,Zimmermann 1932,,Hoya carnosa,,,,,,,,,,,,,,,,
1,Apocynaceae,Hoya,longifolia,As,,,,,Zimmermann 1932,,Hoya longifolia,,,,,,,,,,,,,,,,
0,Apocynaceae,Hoya,sp.,As,,Florida,upper leaf surface,,Mizell 2004,,Hoya sp.,,,,,,,,,,,,,,,,
1,Apocynaceae,Ichnocarpus,fruticosus,As,vine,Australia,calyx,,Blϋthgen & Reifenrath 2003,,Ichnocarpus fruticosus,,,,,,,,,,,,,,,,
1,Apocynaceae,Marsdenia,glabra,As,liana,"Yunnan, China","lamina base, upper side",,Liu and Chen 2008,,Marsdenia glabra,,,,,,,,,,,,,,,,
1,Apocynaceae,Oxypetalum,sp.,As,shrub,South  America,,,Mizell 2004,,Oxypetalum sp.,,,,,,,,,,,,,,,,
1,Apocynaceae,Pachypodium,saundersii,Ac,,,,,Zimmermann 1932,,Pachypodium saundersii,,,,,,,,,,,,,,,,
1,Apocynaceae,Philibertia,"aff, cynachoidi",As,,,,,Zimmermann 1932,,"Philibertia aff, cynachoidi",,,,,,,,,,,,,,,,
1,Apocynaceae,Plumeria,alba,Ac,,,,,Goitia and Jaffe 2009,,Plumeria alba,,,,,,,,,,,,,,,,
1,Apocynaceae,Plumeria,rubra,Ac,tree,,"base of petiole, flower bud",Díaz-Castelazo et al. 2013,"Keeler 1985; Mohan and Inamdar 1986, Díaz-Castelazo et al. 2013",photos in Mohan and Inamdars 1986,Plumeria rubra,,,,,,,,,,,,,,,,
1,Apocynaceae,Prestonia,mexicana,Ap,vine,Mexico,"leaf blade, shoots",,Díaz-Castelazo et al. 2004,,Prestonia mexicana,,,,,,,,,,,,,,,,
1,Apocynaceae,Sarcostemma,gardneri,As,,,,,Zimmermann 1932,,Sarcostemma gardneri,,,,,,,,,,,,,,,,
1,Apocynaceae,Stephanotis,floribunda,As,,,,,Zimmermann 1932,,Stephanotis floribunda,,,,,,,,,,,,,,,,
1,Apocynaceae,Tabernaemontana,divaricata,Ac,,,,,"Metcalfe and Chalk, 1979",,Tabernaemontana divaricata,,,,,,,,,,,,,,,,
1,Apocynaceae,Thevetia,sp.,Ac,,,,,Koptur 1992,,Thevetia sp.,,,,,,,,,,,,,,,,
1,Apocynaceae,Wrightia,laevis ssp.Millgar,As,tree,Australia,"calyx, peduncles",,Blϋthgen & Reifenrath 2003,,Wrightia laevis ssp.Millgar,,,,,,,,,,,,,,,,
1,Aquifoliaceae,Ilex,paraguariensis,yerba mate,tree,South  America,leaves,Junqueira et al. 2001,Junqueira et al. 2001,,Ilex paraguariensis,,,,,,,,,,,,,,,,
1,Araceae,Alocasia,grata,,,,,,Belin-Dupouz 1978,,Alocasia grata,,,,,,,,,,,,,,,,
1,Araceae,Alocasia,putzeysii,,,,,,Belin-Dupouz 1978,,Alocasia putzeysii,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,acutatum,,epiphyte,Amazon,leaf petiole; flower bud,,Blüthgen et al. 2000,,Philodendron acutatum,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,cuspidatum,,,,base of cataphyll,,Zimmermann 1932;Elias 1983, name now P. micrans,Philodendron cuspidatum,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,deflexum,,,,"leaf blade, leaf petiole, leaf bud, stem",,Blüthgen et al. 2000,,Philodendron deflexum,,,,,,,,,,,,,,,,
